[06/06/2023 13:58:56]	Filtered to 46 links.
[06/06/2023 13:58:56]	Error: Page "https://www.webofscience.com/wos/author/record/10342075" loading timeout.
[06/06/2023 13:59:12]	Extracted 19 links.
[06/06/2023 13:59:12]	Filtered to 0 links.
[06/06/2023 13:59:12]	Page "https://www.webofscience.com/wos/author/record/840206" loaded successfully.
[06/06/2023 13:59:16]	Extracted 159 links.
[06/06/2023 13:59:16]	Filtered to 50 links.
[06/06/2023 13:59:16]	Page "https://www.webofscience.com/wos/author/record/1301247" loaded successfully.
[06/06/2023 13:59:21]	Extracted 160 links.
[06/06/2023 13:59:21]	Filtered to 49 links.
[06/06/2023 13:59:21]	Page "https://www.webofscience.com/wos/author/record/827774" loaded successfully.
[06/06/2023 13:59:27]	Extracted 149 links.
[06/06/2023 13:59:27]	Filtered to 50 links.
[06/06/2023 13:59:27]	Error: Page "https://www.webofscience.com/wos/author/record/16021920" loading timeout.
[06/06/2023 13:59:43]	Extracted 19 links.
[06/06/2023 13:59:43]	Filtered to 0 links.
[06/06/2023 13:59:43]	Error: Page "https://www.webofscience.com/wos/author/record/30245214" loading timeout.
[06/06/2023 14:00:00]	Extracted 19 links.
[06/06/2023 14:00:00]	Filtered to 0 links.
[06/06/2023 14:00:00]	Page "https://www.webofscience.com/wos/author/record/2349887" loaded successfully.
[06/06/2023 14:00:12]	Extracted 169 links.
[06/06/2023 14:00:12]	Filtered to 50 links.
[06/06/2023 14:00:12]	Page "https://www.webofscience.com/wos/author/record/321742" loaded successfully.
[06/06/2023 14:00:18]	Extracted 163 links.
[06/06/2023 14:00:18]	Filtered to 50 links.
[06/06/2023 14:00:18]	Error: Page "https://www.webofscience.com/wos/author/record/15268051" loading timeout.
[06/06/2023 14:00:34]	Extracted 19 links.
[06/06/2023 14:00:34]	Filtered to 0 links.
[06/06/2023 14:00:34]	Error: Page "https://www.webofscience.com/wos/author/record/27417070" loading timeout.
[06/06/2023 14:00:50]	Extracted 19 links.
[06/06/2023 14:00:50]	Filtered to 0 links.
[06/06/2023 14:00:50]	Page "https://www.webofscience.com/wos/author/record/1245996" loaded successfully.
[06/06/2023 14:00:55]	Extracted 151 links.
[06/06/2023 14:00:55]	Filtered to 50 links.
[06/06/2023 14:00:55]	Page "https://www.webofscience.com/wos/author/record/1584822" loaded successfully.
[06/06/2023 14:00:58]	Extracted 54 links.
[06/06/2023 14:00:58]	Filtered to 14 links.
[06/06/2023 14:00:58]	Error: Page "https://www.webofscience.com/wos/author/record/26062928" loading timeout.
[06/06/2023 14:01:15]	Extracted 19 links.
[06/06/2023 14:01:15]	Filtered to 0 links.
